Total Employees,"The employees who have joined us, as on any date but is still an active employee, Meaning their last working date is not there",,
Total Turnover,The employees who have resigned  between the selected period,,
Turnover Ratio,"Three types : Overall turnover,",,
Overall Turnover,(Total no.of employees separated / Total number of employees / Number of months completed in that financial year) *12,30%,Annual Attrition for the month
Voluntary Turnover,(Total no.of voluntary Attrition / Total Number of employees / Number of months completed in that financial year) *12,,
Involuntary Turnover,(Total no.of terminations & retirement / Total Number of employees / Number of months completed in that financial year) *12,,
